time,open,high,low,close
960522300,1070.22,1070.22,1070.22,1070.22
960781500,1052.4399,1052.4399,1052.4399,1052.4399
960867900,1059.5601,1059.5601,1059.5601,1059.5601
960954300,1066.28,1066.28,1066.28,1066.28
961040700,1071.61,1071.61,1071.61,1071.61
961127100,1098,1098,1098,1098
961386300,1087.05,1087.05,1087.05,1087.05
961472700,1110.22,1110.22,1110.22,1110.22
961559100,1090.3199,1090.3199,1090.3199,1090.3199
961645500,1106.12,1106.12,1106.12,1106.12
961731900,1120.48,1120.48,1120.48,1120.48
961991100,1084.38,1084.38,1084.38,1084.38
962077500,1083.34,1083.34,1083.34,1083.34
962163900,1085.73,1085.73,1085.73,1085.73
962250300,1093.55,1093.55,1093.55,1093.55
962336700,1087.1801,1087.1801,1087.1801,1087.1801
962595900,1119.29,1119.29,1119.29,1119.29
962682300,1135.0601,1135.0601,1135.0601,1135.0601
962768700,1133.61,1133.61,1133.61,1133.61
962855100,1123.2,1123.2,1123.2,1123.2
962941500,1130.0601,1130.0601,1130.0601,1130.0601
963200700,1110.67,1110.67,1110.67,1110.67
963287100,1116.83,1116.83,1116.83,1116.83
963373500,1108.72,1108.72,1108.72,1108.72
963459900,1101.88,1101.88,1101.88,1101.88
963546300,1095.11,1095.11,1095.11,1095.11
963805500,1081.53,1081.53,1081.53,1081.53
963891900,1090.71,1090.71,1090.71,1090.71
963978300,1074.88,1074.88,1074.88,1074.88
964064700,1053.89,1053.89,1053.89,1053.89
964151100,1046.92,1046.92,1046.92,1046.92
964410300,983.98999,983.98999,983.98999,983.98999
964496700,1010.99,1010.99,1010.99,1010.99
964583100,994.13,994.13,994.13,994.13
964669500,999.76001,999.76001,999.76001,999.76001
964755900,1002.71,1002.71,1002.71,1002.71
965015100,993.58002,993.58002,993.58002,993.58002
965101500,979.72998,979.72998,979.72998,979.72998
965187900,986.53003,986.53003,986.53003,986.53003
965274300,1006.1,1006.1,1006.1,1006.1
965360700,1009.51,1009.51,1009.51,1009.51
965619900,986.89001,986.89001,986.89001,986.89001
965706300,1017.43,1017.43,1017.43,1017.43
965792700,1009.9,1009.9,1009.9,1009.9
965879100,1001.34,1001.34,1001.34,1001.34
965965500,994.59998,994.59998,994.59998,994.59998
966224700,991.83002,991.83002,991.83002,991.83002
966397500,1008.41,1008.41,1008.41,1008.41
966483900,999.35999,999.35999,999.35999,999.35999
966570300,987.09998,987.09998,987.09998,987.09998
966829500,981.28998,981.28998,981.28998,981.28998
966915900,975.52002,975.52002,975.52002,975.52002
967002300,985.40002,985.40002,985.40002,985.40002
967088700,981.20001,981.20001,981.20001,981.20001
967175100,994.70001,994.70001,994.70001,994.70001
967434300,995.54999,995.54999,995.54999,995.54999
967520700,989.37,989.37,989.37,989.37
967607100,1006.13,1006.13,1006.13,1006.13
967693500,1003.07,1003.07,1003.07,1003.07
968039100,1015.61,1015.61,1015.61,1015.61
968125500,1027.16,1027.16,1027.16,1027.16
968211900,1036.5699,1036.5699,1036.5699,1036.5699
968298300,1035.05,1035.05,1035.05,1035.05
968384700,1044.64,1044.64,1044.64,1044.64
968643900,1039.26,1039.26,1039.26,1039.26
968730300,1029.97,1029.97,1029.97,1029.97
968816700,997.73999,997.73999,997.73999,997.73999
968903100,987.65997,987.65997,987.65997,987.65997
968989500,959.48999,959.48999,959.48999,959.48999
969248700,920.64001,920.64001,920.64001,920.64001
969335100,938.90997,938.90997,938.90997,938.90997
969421500,945.15002,945.15002,945.15002,945.15002
969507900,937.44,937.44,937.44,937.44
969594300,908.28003,908.28003,908.28003,908.28003
969853500,925.06,925.06,925.06,925.06
969939900,917.40997,917.40997,917.40997,917.40997
970026300,915.51001,915.51001,915.51001,915.51001
970112700,901.51001,901.51001,901.51001,901.51001
970199100,907.53003,907.53003,907.53003,907.53003
970544700,892.84998,892.84998,892.84998,892.84998
970631100,890.21997,890.21997,890.21997,890.21997
970717500,870.77002,870.77002,870.77002,870.77002
970803900,866.03998,866.03998,866.03998,866.03998
971063100,870.41998,870.41998,870.41998,870.41998
971149500,852.46002,852.46002,852.46002,852.46002
971235900,850.27002,850.27002,850.27002,850.27002
971322300,859.34003,859.34003,859.34003,859.34003
971408700,856.53998,856.53998,856.53998,856.53998
971667900,860.21002,860.21002,860.21002,860.21002
971754300,851.15002,851.15002,851.15002,851.15002
971840700,844.73999,844.73999,844.73999,844.73999
971927100,857.21002,857.21002,857.21002,857.21002
972013500,857.09003,857.09003,857.09003,857.09003
972272700,831.77002,831.77002,831.77002,831.77002
972359100,829.96002,829.96002,829.96002,829.96002
972445500,841.28003,841.28003,841.28003,841.28003
972531900,850.28998,850.28998,850.28998,850.28998
972618300,845.39001,845.39001,845.39001,845.39001
972877500,846.09003,846.09003,846.09003,846.09003
972963900,861.27002,861.27002,861.27002,861.27002
973050300,885.52002,885.52002,885.52002,885.52002
973136700,898.79999,898.79999,898.79999,898.79999
973223100,908.42999,908.42999,908.42999,908.42999
973482300,910.51001,910.51001,910.51001,910.51001
973568700,908.01001,908.01001,908.01001,908.01001
973655100,915.41998,915.41998,915.41998,915.41998
973741500,908.70001,908.70001,908.70001,908.70001
973827900,897.58002,897.58002,897.58002,897.58002
974087100,878.06,878.06,878.06,878.06
974173500,897.31,897.31,897.31,897.31
974259900,930.34003,930.34003,930.34003,930.34003
974346300,949.59998,949.59998,949.59998,949.59998
974432700,919.39001,919.39001,919.39001,919.39001
974691900,919.12,919.12,919.12,919.12
974778300,910.34998,910.34998,910.34998,910.34998
974864700,912.87,912.87,912.87,912.87
974951100,900.45001,900.45001,900.45001,900.45001
975037500,909.54999,909.54999,909.54999,909.54999
975296700,937.83002,937.83002,937.83002,937.83002
975383100,958.15997,958.15997,958.15997,958.15997
975469500,944.22998,944.22998,944.22998,944.22998
975555900,941.08002,941.08002,941.08002,941.08002
975642300,946.46997,946.46997,946.46997,946.46997
975901500,961.91998,961.91998,961.91998,961.91998
975987900,963.79999,963.79999,963.79999,963.79999
976074300,963.58002,963.58002,963.58002,963.58002
976160700,967.87,967.87,967.87,967.87
976247100,992.82001,992.82001,992.82001,992.82001
976506300,998.66998,998.66998,998.66998,998.66998
976592700,994.73999,994.73999,994.73999,994.73999
976679100,1018.01,1018.01,1018.01,1018.01
976765500,1002.51,1002.51,1002.51,1002.51
976851900,973.54999,973.54999,973.54999,973.54999
977111100,970.5,970.5,970.5,970.5
977197500,979.06,979.06,979.06,979.06
977283900,984.64001,984.64001,984.64001,984.64001
977370300,969.72998,969.72998,969.72998,969.72998
977456700,947.67999,947.67999,947.67999,947.67999
977802300,925.84003,925.84003,925.84003,925.84003
977888700,936.96997,936.96997,936.96997,936.96997
977975100,961.81,961.81,961.81,961.81
978061500,971.72998,971.72998,971.72998,971.72998
978320700,977.94,977.94,977.94,977.94
978407100,1015.79,1015.79,1015.79,1015.79
978493500,1043.74,1043.74,1043.74,1043.74
978579900,1034.66,1034.66,1034.66,1034.66
978666300,1046.99,1046.99,1046.99,1046.99
978925500,1033.98,1033.98,1033.98,1033.98
979011900,1027.9399,1027.9399,1027.9399,1027.9399
979098300,1031.27,1031.27,1031.27,1031.27
979184700,1031.78,1031.78,1031.78,1031.78
979271100,1049.51,1049.51,1049.51,1049.51
979530300,1057.52,1057.52,1057.52,1057.52
979616700,1068,1068,1068,1068
979703100,1057.49,1057.49,1057.49,1057.49
979789500,1054.72,1054.72,1054.72,1054.72
